epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4521.91,1.70372,1.24793,1.34808,0.552,0.53324,0.56261,0.30091,1.71677,1.18322,1.33845,0.0272957,0.0272957,0.0272957
43,4653.27,1.69254,1.23383,1.34273,0.552,0.53324,0.56261,0.30091,nan,nan,nan,0.0271671,0.0271671,0.0271671
44,4787.86,1.69396,1.23528,1.33858,0.56307,0.54192,0.56516,0.29219,1.7975,1.16916,1.35332,0.0270358,0.0270358,0.0270358
45,4887.38,1.68248,1.22415,1.33167,0.5497,0.52542,0.54622,0.29179,1.74135,1.17977,1.35156,0.0269019,0.0269019,0.0269019
46,4982.33,1.68411,1.22652,1.3338,0.5497,0.52542,0.54622,0.29179,nan,nan,nan,0.0267655,0.0267655,0.0267655
47,5077.42,1.68958,1.23474,1.33987,0.5497,0.52542,0.54622,0.29179,nan,nan,nan,0.0266265,0.0266265,0.0266265
48,5171.25,1.68645,1.22681,1.34107,0.5497,0.52542,0.54622,0.29179,nan,nan,nan,0.026485,0.026485,0.026485
49,5269.72,1.68961,1.21915,1.33767,0.59831,0.54392,0.58279,0.30751,1.75699,1.12979,1.34827,0.0263411,0.0263411,0.0263411
50,5364.49,1.67508,1.22212,1.3352,0.59831,0.54392,0.58279,0.30751,nan,nan,nan,0.0261947,0.0261947,0.0261947
51,5454.42,1.6624,1.19988,1.32049,0.59831,0.54392,0.58279,0.30751,nan,nan,nan,0.0260459,0.0260459,0.0260459
52,5531.21,1.6595,1.1991,1.3224,0.59831,0.54392,0.58279,0.30751,nan,nan,nan,0.0258948,0.0258948,0.0258948
53,5607.66,1.67922,1.20981,1.33173,0.59831,0.54392,0.58279,0.30751,nan,nan,nan,0.0257414,0.0257414,0.0257414
54,5686.91,1.66006,1.20224,1.32591,0.55876,0.46225,0.52913,0.30542,nan,nan,nan,0.0255857,0.0255857,0.0255857
