epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.62,3.13469,3.43179,2.2214,0.88133,0.01633,0.02048,0.00661,2.94065,4.07226,2.10593,0.0701667,0.00331481,0.00331481
2,276.45,2.33352,2.48339,1.67952,0.43875,0.40005,0.36681,0.17001,2.45775,2.82827,1.96647,0.0401467,0.0066282,0.0066282
3,409.917,2.11571,2.12851,1.59401,0.6689,0.3872,0.32484,0.1094,2.3861,3.73673,1.83309,0.0101068,0.00992159,0.00992159
4,536.774,1.99516,1.93775,1.54972,0.55715,0.39465,0.40525,0.18128,2.30836,2.87053,1.88357,0.00991,0.00991,0.00991
5,667.504,1.87025,1.77261,1.49077,0.59185,0.36507,0.41984,0.20834,2.23865,2.34724,1.79708,0.00988,0.00988,0.00988
6,794.757,1.82311,1.66673,1.47444,0.47605,0.44607,0.48691,0.2872,2.25208,2.10241,1.79385,0.00985,0.00985,0.00985
7,923.726,1.7618,1.57934,1.44783,0.44243,0.57741,0.49087,0.31868,2.05046,2.09939,1.6707,0.00982,0.00982,0.00982
8,1054.66,1.74236,1.5486,1.44486,0.48911,0.51194,0.49684,0.25507,2.04703,1.98466,1.69949,0.00979,0.00979,0.00979
9,1183.03,1.72027,1.50559,1.43999,0.70779,0.4518,0.50126,0.26334,2.00234,2.0986,1.63983,0.00976,0.00976,0.00976
10,1314.16,1.69569,1.47624,1.42971,0.67192,0.5387,0.52542,0.27131,2.14173,1.98586,1.74179,0.00973,0.00973,0.00973
11,1441.8,1.68081,1.4517,1.41109,0.58124,0.57487,0.50485,0.27045,2.11577,1.86175,1.70915,0.0097,0.0097,0.0097
12,1571.02,1.66513,1.41972,1.40702,0.63433,0.53939,0.51125,0.31645,2.06459,1.95363,1.66593,0.00967,0.00967,0.00967
13,1698.47,1.62474,1.39985,1.3795,0.51977,0.52166,0.54675,0.31088,2.14707,1.91994,1.76153,0.00964,0.00964,0.00964
14,1826.57,1.61014,1.367,1.37339,0.48759,0.61015,0.5355,0.30012,2.0616,1.92531,1.67976,0.00961,0.00961,0.00961
15,1957.75,1.59696,1.34195,1.36599,0.62441,0.57646,0.54756,0.29452,2.04885,1.88909,1.67834,0.00958,0.00958,0.00958
16,2085.57,1.57059,1.32257,1.3482,0.66011,0.5872,0.55487,0.31217,2.03054,1.86035,1.64954,0.00955,0.00955,0.00955
17,2215.7,1.5721,1.31704,1.34815,0.66153,0.5888,0.52016,0.27087,2.0688,1.90426,1.67227,0.00952,0.00952,0.00952
18,2340.81,1.56584,1.31627,1.3493,0.70622,0.55061,0.56952,0.31413,2.22449,1.80673,1.78574,0.00949,0.00949,0.00949
19,2472.34,1.55717,1.29353,1.34051,0.64024,0.55874,0.56896,0.3595,1.98798,1.83322,1.65057,0.00946,0.00946,0.00946
20,2598.49,1.53338,1.27582,1.32896,0.49352,0.58561,0.53639,0.30377,2.00132,1.82726,1.61545,0.00943,0.00943,0.00943
21,2729.29,1.54083,1.2853,1.33419,0.5984,0.59848,0.54392,0.34268,1.95453,1.8207,1.62203,0.0094,0.0094,0.0094
22,2858.38,1.5287,1.26231,1.3285,0.59852,0.54025,0.54893,0.31636,2.01265,1.83802,1.61333,0.00937,0.00937,0.00937
23,2987.27,1.51959,1.26386,1.32567,0.53254,0.54629,0.54199,0.30447,2.10423,1.82975,1.72023,0.00934,0.00934,0.00934
24,3114.53,1.51147,1.24904,1.32022,0.56783,0.47482,0.50667,0.27647,2.0526,1.80003,1.69802,0.00931,0.00931,0.00931
25,3245.04,1.49738,1.23684,1.30834,0.64199,0.56136,0.53726,0.28948,1.92311,1.63993,1.59561,0.00928,0.00928,0.00928
26,3370.93,1.51103,1.24847,1.32257,0.60755,0.55966,0.5466,0.33056,1.96839,1.86112,1.59949,0.00925,0.00925,0.00925
27,3498.6,1.50345,1.25552,1.31715,0.70892,0.48194,0.48705,0.28105,1.93083,1.89304,1.61334,0.00922,0.00922,0.00922
28,3623.89,1.49239,1.23419,1.31284,0.65097,0.60273,0.59908,0.29274,2.08365,1.74618,1.6925,0.00919,0.00919,0.00919
29,3753.68,1.47946,1.23583,1.30519,0.64484,0.54325,0.5576,0.32277,1.96485,1.74211,1.60612,0.00916,0.00916,0.00916
30,3880.49,1.48503,1.2195,1.30659,0.6964,0.52884,0.51654,0.30458,1.97659,1.90231,1.63194,0.00913,0.00913,0.00913
31,4010.8,1.45691,1.21192,1.29664,0.63523,0.57542,0.542,0.30294,1.98296,1.68432,1.64216,0.0091,0.0091,0.0091
32,4137,1.47559,1.22505,1.2997,0.7149,0.56284,0.59401,0.31703,2.10154,1.90745,1.69486,0.00907,0.00907,0.00907
33,4267.29,1.46302,1.20742,1.28677,0.64032,0.5486,0.56199,0.3133,1.97973,1.89425,1.59432,0.00904,0.00904,0.00904
34,4393.8,1.4517,1.1955,1.28252,0.69109,0.55652,0.53329,0.32373,2.00252,1.90325,1.63448,0.00901,0.00901,0.00901
35,4524.84,1.45228,1.20049,1.28587,0.69989,0.55623,0.55961,0.32243,1.92914,1.81885,1.58141,0.00898,0.00898,0.00898
36,4653.03,1.44249,1.19722,1.27928,0.71913,0.57241,0.55373,0.33206,1.83618,1.71647,1.53495,0.00895,0.00895,0.00895
37,4779.83,1.43538,1.1764,1.28009,0.6262,0.57142,0.53495,0.3178,1.93445,1.93145,1.61243,0.00892,0.00892,0.00892
38,4905.41,1.4212,1.16996,1.27327,0.71649,0.54477,0.53294,0.33275,1.95335,1.90848,1.60972,0.00889,0.00889,0.00889
39,5033.52,1.45458,1.19203,1.28678,0.59272,0.55758,0.54626,0.32896,1.87498,1.75698,1.55897,0.00886,0.00886,0.00886
40,5163.57,1.42933,1.17207,1.27424,0.49295,0.61043,0.54318,0.34715,1.80566,1.76652,1.53535,0.00883,0.00883,0.00883
41,5291.57,1.41988,1.17883,1.27433,0.5974,0.54107,0.55034,0.35188,1.93895,1.69733,1.62206,0.0088,0.0088,0.0088
42,5418.19,1.41535,1.17167,1.27127,0.69774,0.562,0.54497,0.3287,1.90083,1.73081,1.58298,0.00877,0.00877,0.00877
43,5545.68,1.40717,1.16587,1.26436,0.55806,0.55172,0.53512,0.30879,1.84103,1.72594,1.55289,0.00874,0.00874,0.00874
44,5676.23,1.41657,1.1704,1.2672,0.7248,0.55397,0.55411,0.32752,1.91111,1.76224,1.57746,0.00871,0.00871,0.00871
45,5804.95,1.41053,1.15359,1.26329,0.65157,0.55128,0.56133,0.3249,1.84449,1.79635,1.55188,0.00868,0.00868,0.00868
46,5930.77,1.3931,1.15047,1.25361,0.71502,0.56693,0.55758,0.30173,1.84551,1.76098,1.56558,0.00865,0.00865,0.00865
47,6061.38,1.39649,1.14748,1.25863,0.63112,0.57424,0.56972,0.32824,1.79064,1.6212,1.51078,0.00862,0.00862,0.00862
48,6185.82,1.37391,1.13904,1.25046,0.6854,0.56214,0.54239,0.3392,1.80183,1.82587,1.52169,0.00859,0.00859,0.00859
49,6317.63,1.38761,1.13543,1.24937,0.63028,0.57247,0.53819,0.29418,1.84195,1.65884,1.52759,0.00856,0.00856,0.00856
