epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8971,4.08603,3.89468,3.37175,0,0,0,0,5.42349,4.16916,19.4777,0.0757,0.0027,0.0027
2,105.332,2.9185,2.70053,2.08705,0,0,0,0,nan,nan,nan,0.0504999,0.00549986,0.00549986
3,158.336,2.63368,2.38712,1.89871,0.0759,0.00399,0.03859,0.01664,3.2663,5.07324,2.82727,0.0252992,0.00829918,0.00829918
4,213.087,2.43285,2.19743,1.7636,0.04737,0.01398,0.02662,0.00735,3.45176,5.06662,2.99333,0.00999778,0.00999778,0.00999778
5,266.561,2.3426,2.10225,1.70066,0.03947,0.05107,0.03811,0.00996,3.18949,3.46511,2.53188,0.00999605,0.00999605,0.00999605
6,317.674,2.2281,1.9755,1.64544,0.16629,0.09962,0.1318,0.04659,3.0601,3.62789,2.37481,0.00999383,0.00999383,0.00999383
7,372.819,2.16821,1.90637,1.59082,0.30937,0.28572,0.29165,0.1132,2.24809,1.76503,1.68302,0.00999112,0.00999112,0.00999112
8,419.892,2.10298,1.79973,1.55292,0.28515,0.13914,0.20057,0.09053,2.12693,1.82174,1.58265,0.00998792,0.00998792,0.00998792
9,473.831,2.0596,1.76633,1.54152,0.55276,0.26261,0.29182,0.13277,2.19942,1.81962,1.61509,0.00998422,0.00998422,0.00998422
10,529.179,2.01793,1.67644,1.50198,0.34738,0.40062,0.39751,0.18398,2.07398,1.77298,1.56257,0.00998003,0.00998003,0.00998003
11,584.544,1.98285,1.64757,1.4787,0.63832,0.38856,0.44181,0.21516,2.08049,1.5963,1.5811,0.00997535,0.00997535,0.00997535
12,645.656,1.99301,1.62662,1.47733,0.40641,0.18027,0.28947,0.13518,2.20845,1.57925,1.63189,0.00997018,0.00997018,0.00997018
13,704.924,1.94908,1.60838,1.46002,0.5826,0.40357,0.5031,0.24881,1.97055,1.42892,1.48876,0.00996452,0.00996452,0.00996452
14,746.387,1.92667,1.56448,1.44416,0.51576,0.46324,0.49216,0.21526,2.02222,1.43417,1.46812,0.00995837,0.00995837,0.00995837
15,804.625,1.90339,1.52582,1.42604,0.45711,0.33521,0.41635,0.18439,2.03357,1.56763,1.51496,0.00995173,0.00995173,0.00995173
16,868.899,1.88594,1.50159,1.42689,0.44574,0.42822,0.44659,0.21573,1.99625,1.44473,1.48275,0.0099446,0.0099446,0.0099446
17,932.817,1.89173,1.5098,1.42066,0.44947,0.44395,0.45617,0.24185,1.88,1.47109,1.43349,0.00993698,0.00993698,0.00993698
18,1008.67,1.85467,1.46028,1.39881,0.49367,0.47528,0.49654,0.2529,1.9072,1.31308,1.44022,0.00992888,0.00992888,0.00992888
19,1057.14,1.84588,1.44369,1.40688,0.5021,0.44522,0.50446,0.23301,1.92973,1.52976,1.49373,0.00992029,0.00992029,0.00992029
20,1105.6,1.89074,1.46466,1.42635,0.47574,0.42196,0.47391,0.25077,1.96172,1.35287,1.46002,0.00991122,0.00991122,0.00991122
21,1166.35,1.83455,1.42626,1.40419,0.50001,0.45527,0.49833,0.2362,1.89193,1.30301,1.45269,0.00990166,0.00990166,0.00990166
22,1213.12,1.78677,1.36961,1.38456,0.42751,0.38177,0.39778,0.22253,1.87851,1.34848,1.41498,0.00989163,0.00989163,0.00989163
23,1269.49,1.7996,1.38259,1.38992,0.52116,0.51329,0.54317,0.24478,1.95861,1.35771,1.45866,0.00988111,0.00988111,0.00988111
24,1325.04,1.78472,1.36954,1.37793,0.44336,0.56396,0.52633,0.21847,2.06087,1.3162,1.49303,0.0098701,0.0098701,0.0098701
25,1383.69,1.76024,1.35623,1.36308,0.49544,0.56551,0.55532,0.23404,2.06936,1.27674,1.5384,0.00985862,0.00985862,0.00985862
26,1451.68,1.75822,1.34245,1.35985,0.49463,0.48035,0.48813,0.19104,2.49941,1.40034,1.79809,0.00984667,0.00984667,0.00984667
27,1510.15,1.76501,1.31824,1.35874,0.58701,0.47586,0.54955,0.26513,2.04288,1.29698,1.54063,0.00983423,0.00983423,0.00983423
28,1563.65,1.75475,1.31846,1.35876,0.50337,0.5396,0.53853,0.27726,1.78833,1.22778,1.37617,0.00982132,0.00982132,0.00982132
29,1622.07,1.7299,1.28915,1.34378,0.41256,0.40533,0.4094,0.17588,2.09059,1.3578,1.50285,0.00980794,0.00980794,0.00980794
30,1689.46,1.74829,1.30665,1.35293,0.50572,0.51017,0.5342,0.27982,1.78071,1.22671,1.39187,0.00979408,0.00979408,0.00979408
31,1736.89,1.69362,1.26859,1.33526,0.57056,0.56429,0.58063,0.30947,1.7845,1.16163,1.39477,0.00977975,0.00977975,0.00977975
32,1785.75,1.73622,1.27475,1.34317,0.53026,0.53805,0.56791,0.30066,1.77893,1.23191,1.37353,0.00976496,0.00976496,0.00976496
33,1833.32,1.70067,1.26456,1.33364,0.52913,0.57504,0.58741,0.31271,1.74047,1.17779,1.36126,0.00974969,0.00974969,0.00974969
34,1883.51,1.69451,1.2507,1.335,0.62229,0.52527,0.59369,0.31838,1.77883,1.16434,1.38335,0.00973396,0.00973396,0.00973396
35,1929.03,1.67859,1.22712,1.31564,0.67595,0.54035,0.64729,0.35347,1.72713,1.22787,1.37396,0.00971777,0.00971777,0.00971777
36,1981.68,1.67519,1.22886,1.30991,0.60635,0.55484,0.59933,0.3285,1.79766,1.15998,1.3788,0.00970111,0.00970111,0.00970111
37,2026.82,1.66689,1.22357,1.31947,0.43227,0.43947,0.45545,0.18648,2.09789,1.39558,1.47409,0.00968399,0.00968399,0.00968399
38,2085.53,1.66392,1.22318,1.31137,0.47533,0.56647,0.58428,0.29771,1.76691,1.21384,1.38072,0.00966642,0.00966642,0.00966642
39,2141.94,1.66604,1.20214,1.30434,0.48567,0.60064,0.57264,0.28218,1.74758,1.16365,1.37139,0.00964838,0.00964838,0.00964838
40,2194.81,1.64106,1.18222,1.30057,0.59399,0.52178,0.58845,0.30728,1.74034,1.2738,1.35464,0.0096299,0.0096299,0.0096299
41,2251.93,1.63151,1.18658,1.30402,0.52768,0.51787,0.57953,0.28436,1.80602,1.21117,1.37208,0.00961095,0.00961095,0.00961095
42,2318.64,1.6243,1.16657,1.28847,0.65146,0.54046,0.62137,0.34069,1.71389,1.1378,1.33238,0.00959156,0.00959156,0.00959156
43,2371.05,1.62551,1.17145,1.29281,0.5687,0.58846,0.60875,0.29509,1.86093,1.15063,1.42668,0.00957172,0.00957172,0.00957172
44,2435.86,1.65338,1.18156,1.30605,0.51572,0.55408,0.58038,0.2615,1.99222,1.24956,1.45998,0.00955143,0.00955143,0.00955143
45,2479.82,1.64913,1.17919,1.31524,0.64579,0.51037,0.59617,0.31971,1.80187,1.14012,1.41634,0.0095307,0.0095307,0.0095307
46,2525.99,1.62904,1.17609,1.29783,0.5185,0.58415,0.57624,0.27236,1.90475,1.20643,1.44589,0.00950953,0.00950953,0.00950953
47,2578.78,1.6081,1.16049,1.28794,0.61596,0.56403,0.60957,0.31925,1.79071,1.10932,1.37658,0.00948792,0.00948792,0.00948792
48,2646.73,1.60178,1.13899,1.28137,0.56058,0.5117,0.60872,0.31437,1.71632,1.14925,1.35245,0.00946587,0.00946587,0.00946587
49,2706.33,1.60679,1.15677,1.27974,0.62122,0.64533,0.67317,0.35425,1.69268,1.10665,1.35821,0.00944338,0.00944338,0.00944338
50,2779.91,1.58764,1.11802,1.27503,0.65706,0.60349,0.64678,0.3614,1.72364,1.03259,1.35366,0.00942046,0.00942046,0.00942046
51,2840.17,1.61153,1.13878,1.28922,0.55675,0.70709,0.66723,0.36887,1.72884,1.07786,1.36402,0.00939711,0.00939711,0.00939711
52,2899.85,1.6256,1.16146,1.29489,0.67555,0.55428,0.65735,0.34758,1.70116,1.09314,1.34653,0.00937334,0.00937334,0.00937334
53,2961.81,1.60892,1.13319,1.27721,0.60276,0.5982,0.62605,0.33823,1.73775,1.08186,1.3483,0.00934914,0.00934914,0.00934914
54,3012.05,1.58076,1.11628,1.27208,0.60644,0.57125,0.61626,0.34004,1.71157,1.1298,1.36004,0.00932452,0.00932452,0.00932452
