epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4850.06,1.65213,1.18562,1.29395,0.56903,0.56203,0.58883,0.30646,1.77788,1.12067,1.33103,0.00909858,0.00909858,0.00909858
43,4950.4,1.63742,1.16885,1.28714,0.59412,0.54993,0.58909,0.32134,1.69359,1.12099,1.29763,0.0090557,0.0090557,0.0090557
44,5050.94,1.64664,1.1791,1.28431,0.59666,0.58355,0.60477,0.32382,1.6943,1.06236,1.27549,0.00901194,0.00901194,0.00901194
45,5151.84,1.61459,1.14506,1.26883,0.60379,0.58667,0.61458,0.35601,1.58508,1.03486,1.24109,0.00896731,0.00896731,0.00896731
46,5253.2,1.62037,1.14828,1.27332,0.68094,0.60249,0.66524,0.37254,1.64249,1.0606,1.26204,0.00892183,0.00892183,0.00892183
47,5354.01,1.61561,1.14341,1.27077,0.59935,0.59707,0.6184,0.35082,1.61414,1.03763,1.25102,0.0088755,0.0088755,0.0088755
48,5454.86,1.62969,1.1445,1.2807,0.61758,0.5674,0.61001,0.34417,1.64922,1.06795,1.25435,0.00882834,0.00882834,0.00882834
49,5554.22,1.61418,1.13433,1.27,0.60304,0.59003,0.61619,0.34848,1.65557,1.04532,1.26678,0.00878036,0.00878036,0.00878036
50,5762.6,1.62674,1.15093,1.28233,0.60693,0.59059,0.61529,0.34605,1.66921,1.03424,1.26762,0.00873157,0.00873157,0.00873157
51,5860.19,1.59812,1.12439,1.25943,0.59182,0.60938,0.62092,0.34836,1.64029,1.04005,1.25282,0.00868198,0.00868198,0.00868198
52,5958.11,1.60593,1.12674,1.26506,0.64484,0.58095,0.62784,0.35535,1.62756,1.04675,1.25208,0.00863161,0.00863161,0.00863161
53,6056.74,1.59993,1.11769,1.2608,0.70579,0.58725,0.67455,0.35813,1.75607,1.0623,1.30331,0.00858046,0.00858046,0.00858046
54,6155.67,1.59187,1.11875,1.25791,0.57756,0.60042,0.61787,0.34683,1.64245,1.04672,1.25456,0.00852856,0.00852856,0.00852856
55,6252.99,1.58204,1.11029,1.25442,0.61127,0.58582,0.62009,0.32469,1.77405,1.06309,1.31008,0.0084759,0.0084759,0.0084759
56,6351.77,1.58476,1.10907,1.25392,0.60361,0.60747,0.63181,0.3683,1.54997,1.00568,1.21694,0.00842252,0.00842252,0.00842252
57,6451.43,1.59679,1.11666,1.25897,0.69521,0.5826,0.66287,0.32201,1.88081,1.08633,1.35154,0.00836841,0.00836841,0.00836841
58,6551.86,1.5864,1.10201,1.25222,0.64169,0.61965,0.65815,0.35918,1.66175,1.01946,1.2618,0.00831359,0.00831359,0.00831359
59,6651.01,1.57743,1.10131,1.25076,0.72153,0.60928,0.6335,0.34955,1.64092,1.00739,1.25401,0.00825808,0.00825808,0.00825808
60,6750.23,1.58063,1.1001,1.25068,0.69717,0.63704,0.69403,0.38034,1.66734,1.01811,1.25768,0.00820189,0.00820189,0.00820189
61,6851.41,1.55662,1.08041,1.23918,0.60124,0.58719,0.62055,0.31787,1.78988,1.05811,1.3087,0.00814503,0.00814503,0.00814503
62,6949.72,1.57873,1.09508,1.24802,0.6019,0.56538,0.60259,0.31549,1.79794,1.07538,1.31882,0.00808752,0.00808752,0.00808752
63,7049.86,1.57814,1.08785,1.24467,0.61704,0.62576,0.6493,0.3466,1.72222,1.02985,1.28256,0.00802938,0.00802938,0.00802938
64,7149.18,1.57091,1.09582,1.24831,0.64457,0.63395,0.65763,0.38081,1.5833,0.98417,1.2238,0.0079706,0.0079706,0.0079706
65,7248.55,1.56983,1.08405,1.24311,0.59288,0.58446,0.59653,0.27445,1.99022,1.10597,1.40338,0.00791122,0.00791122,0.00791122
66,7348.53,1.55495,1.07355,1.23539,0.7173,0.62994,0.69707,0.38859,1.63278,0.98807,1.24236,0.00785124,0.00785124,0.00785124
67,7448.02,1.54912,1.06862,1.23121,0.6137,0.61913,0.64368,0.35953,1.64795,0.9932,1.25108,0.00779069,0.00779069,0.00779069
68,7546.65,1.55077,1.06807,1.23688,0.65933,0.63261,0.66156,0.37594,1.5924,0.97154,1.22554,0.00772956,0.00772956,0.00772956
69,7645.68,1.54967,1.0637,1.23224,0.72317,0.60698,0.63018,0.3178,1.81708,1.0327,1.31698,0.00766789,0.00766789,0.00766789
70,7745.43,1.54151,1.06011,1.22855,0.6943,0.65945,0.70527,0.37865,1.66033,0.98021,1.24666,0.00760568,0.00760568,0.00760568
71,7846.26,1.5507,1.06412,1.23227,0.62874,0.63172,0.65455,0.36804,1.62131,0.96858,1.23707,0.00754296,0.00754296,0.00754296
72,7944.73,1.54179,1.05733,1.22903,0.71611,0.62954,0.68968,0.35883,1.73057,0.98862,1.27915,0.00747973,0.00747973,0.00747973
73,8043.49,1.54527,1.05664,1.22686,0.63909,0.63752,0.66404,0.36631,1.63724,0.98389,1.24397,0.00741601,0.00741601,0.00741601
74,8211.19,1.55163,1.06247,1.23503,0.61886,0.64918,0.6573,0.37311,1.60741,0.94922,1.22567,0.00735181,0.00735181,0.00735181
75,8355.95,1.52782,1.04299,1.22166,0.62674,0.6926,0.6921,0.38795,1.6085,0.94933,1.22933,0.00728717,0.00728717,0.00728717
76,8454.68,1.53803,1.04675,1.22562,0.73162,0.64393,0.71532,0.39042,1.61127,0.95949,1.23401,0.00722208,0.00722208,0.00722208
77,8552.22,1.53519,1.05,1.2261,0.67531,0.6409,0.67824,0.39632,1.57232,0.9579,1.21876,0.00715656,0.00715656,0.00715656
78,8650.01,1.52788,1.05023,1.22335,0.66821,0.66123,0.68678,0.38844,1.60199,0.94451,1.22612,0.00709064,0.00709064,0.00709064
79,8746.89,1.50122,1.01704,1.21037,0.6282,0.70071,0.70047,0.38406,1.65844,0.96465,1.25064,0.00702432,0.00702432,0.00702432
80,8844.66,1.54035,1.04747,1.22985,0.64043,0.6448,0.6629,0.3558,1.70689,0.97426,1.26777,0.00695763,0.00695763,0.00695763
81,8944.11,1.5192,1.03672,1.21651,0.63664,0.68365,0.68874,0.38834,1.60175,0.93649,1.22252,0.00689058,0.00689058,0.00689058
82,9042.42,1.52623,1.0326,1.22146,0.66324,0.68006,0.70489,0.40364,1.55843,0.93031,1.21169,0.00682318,0.00682318,0.00682318
83,9186.91,1.52311,1.03176,1.21559,0.64883,0.6317,0.66208,0.36539,1.64822,0.97102,1.25015,0.00675546,0.00675546,0.00675546
84,9317.53,1.52799,1.03725,1.21928,0.63038,0.67189,0.67833,0.36999,1.68677,0.95514,1.25872,0.00668743,0.00668743,0.00668743
85,9417.2,1.52954,1.0305,1.21892,0.64388,0.68603,0.69598,0.37833,1.67343,0.95717,1.25227,0.0066191,0.0066191,0.0066191
86,9515.89,1.50206,1.01316,1.20581,0.62885,0.66113,0.66449,0.34056,1.7925,0.98531,1.30154,0.0065505,0.0065505,0.0065505
87,9614.25,1.50995,1.01618,1.2131,0.6308,0.61788,0.67071,0.36563,1.70218,0.97532,1.26551,0.00648164,0.00648164,0.00648164
88,9711.42,1.50894,1.02014,1.21468,0.65085,0.65569,0.68195,0.37916,1.63273,0.93293,1.23297,0.00641254,0.00641254,0.00641254
89,9807.62,1.52193,1.0302,1.21938,0.68242,0.63505,0.68178,0.35839,1.7117,0.96776,1.26944,0.00634322,0.00634322,0.00634322
90,9905.13,1.50108,1.01669,1.20899,0.63726,0.65729,0.67097,0.38025,1.62253,0.93516,1.23138,0.00627368,0.00627368,0.00627368
91,10000.9,1.50775,1.01462,1.20742,0.7077,0.64722,0.69666,0.39223,1.61628,0.92419,1.22648,0.00620396,0.00620396,0.00620396
92,10098.5,1.51327,1.01464,1.21116,0.64204,0.65978,0.67966,0.39443,1.55096,0.90788,1.20254,0.00613406,0.00613406,0.00613406
93,10197.4,1.4992,1.01115,1.20545,0.64225,0.69899,0.70127,0.38414,1.64749,0.93652,1.23907,0.006064,0.006064,0.006064
94,10295.4,1.49506,1.00612,1.20261,0.6776,0.66485,0.68901,0.38616,1.63497,0.92083,1.23164,0.0059938,0.0059938,0.0059938
95,10392.7,1.49976,1.00623,1.20359,0.65354,0.64613,0.67596,0.38261,1.62181,0.91868,1.22863,0.00592349,0.00592349,0.00592349
96,10565.9,1.49304,0.99651,1.20267,0.72103,0.6403,0.70199,0.37894,1.67161,0.94152,1.2512,0.00585307,0.00585307,0.00585307
97,10665.6,1.49513,0.99749,1.2006,0.63389,0.68522,0.68929,0.37133,1.68151,0.9377,1.25518,0.00578256,0.00578256,0.00578256
98,10762.4,1.49914,1.0084,1.20647,0.653,0.69858,0.70452,0.39384,1.60344,0.90464,1.21994,0.00571198,0.00571198,0.00571198
99,10859.7,1.49737,1.00148,1.20035,0.65028,0.67845,0.69005,0.38647,1.61629,0.92102,1.22565,0.00564135,0.00564135,0.00564135
100,10956.7,1.49516,0.99526,1.20159,0.6271,0.70123,0.69,0.39017,1.61229,0.91245,1.22526,0.00557068,0.00557068,0.00557068
101,11055.2,1.47808,0.99047,1.19368,0.65483,0.68765,0.69227,0.39648,1.59239,0.90249,1.21274,0.0055,0.0055,0.0055
