epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2126.98,1.91321,1.83025,1.72967,0.45667,0.252,0.32527,0.15823,2.13891,1.8683,1.88763,0.00959156,0.00959156,0.00959156
43,2178.16,1.91769,1.82794,1.71839,0.26529,0.17441,0.2101,0.10338,2.02438,1.89204,1.81101,0.00957172,0.00957172,0.00957172
44,2229.36,1.92639,1.86105,1.743,0.24705,0.15498,0.19404,0.09589,2.04562,1.89577,1.84683,0.00955143,0.00955143,0.00955143
45,2279.68,1.92244,1.84934,1.72891,0.31547,0.1897,0.23287,0.10956,2.15003,1.85788,1.93241,0.0095307,0.0095307,0.0095307
46,2330.08,1.89332,1.81705,1.71282,0.29703,0.21539,0.23437,0.11566,1.97309,1.83802,1.80124,0.00950953,0.00950953,0.00950953
47,2380.31,1.89202,1.81163,1.71465,0.43238,0.25516,0.32352,0.12717,2.24139,1.86684,2.00816,0.00948792,0.00948792,0.00948792
48,2430.49,1.9054,1.82398,1.71748,0.25197,0.17869,0.21116,0.10256,2.04693,1.81663,1.81928,0.00946587,0.00946587,0.00946587
49,2480.59,1.89149,1.8065,1.7078,0.29074,0.18984,0.22633,0.10256,2.06944,1.80132,1.85943,0.00944338,0.00944338,0.00944338
50,2530.98,1.89654,1.80813,1.70777,0.30548,0.21186,0.23612,0.11652,1.98644,1.83279,1.79476,0.00942046,0.00942046,0.00942046
51,2582.2,1.89803,1.8127,1.72033,0.28425,0.27348,0.28299,0.14858,1.9783,1.79633,1.80022,0.00939711,0.00939711,0.00939711
52,2633.89,1.88086,1.81245,1.72023,0.24325,0.17861,0.20249,0.09809,2.02644,1.80385,1.82387,0.00937334,0.00937334,0.00937334
53,2684.43,1.8829,1.8076,1.71311,0.26671,0.18867,0.21336,0.11069,1.97955,1.75971,1.78773,0.00934914,0.00934914,0.00934914
54,2734.43,1.88646,1.80524,1.70765,0.27318,0.18822,0.21124,0.10318,2.10012,1.80452,1.90706,0.00932452,0.00932452,0.00932452
55,2785.73,1.89538,1.80769,1.71302,0.45281,0.28341,0.34464,0.17179,2.02332,1.8206,1.84235,0.00929948,0.00929948,0.00929948
56,2836.54,1.89364,1.7964,1.69672,0.25405,0.18782,0.20913,0.10753,2.00223,1.76659,1.80808,0.00927402,0.00927402,0.00927402
