epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2437.03,1.91288,1.72276,1.66311,0.58157,0.33426,0.24616,0.10217,2.02583,1.72417,1.79677,0.00918082,0.00918082,0.00918082
43,2495.15,1.92358,1.70912,1.65715,0.28786,0.44189,0.26706,0.11779,1.93386,1.6545,1.73027,0.00916084,0.00916084,0.00916084
44,2552.75,1.89879,1.70753,1.65388,0.4978,0.42806,0.30653,0.13698,1.93674,1.79413,1.72346,0.00914086,0.00914086,0.00914086
45,2609.76,1.88962,1.69236,1.6443,0.45349,0.44601,0.28523,0.12657,1.95518,1.66326,1.73467,0.00912088,0.00912088,0.00912088
46,2667.29,1.89573,1.70466,1.65012,0.43864,0.33297,0.30447,0.14384,1.97127,1.66043,1.74524,0.0091009,0.0091009,0.0091009
47,2724.8,1.88505,1.67805,1.65061,0.38918,0.41739,0.30628,0.1253,1.95007,1.64695,1.74082,0.00908092,0.00908092,0.00908092
48,2782.28,1.87759,1.68387,1.64289,0.59422,0.40575,0.31063,0.14026,1.94963,1.6476,1.75036,0.00906094,0.00906094,0.00906094
49,2839.43,1.89397,1.68744,1.64988,0.58293,0.37294,0.24903,0.10507,1.96235,1.7328,1.76226,0.00904096,0.00904096,0.00904096
50,2895.96,1.87986,1.681,1.64275,0.40939,0.37587,0.27543,0.11718,1.98624,1.6154,1.76483,0.00902098,0.00902098,0.00902098
51,2953,1.88029,1.67309,1.64006,0.42389,0.33982,0.3028,0.14241,2.11593,1.71832,1.84488,0.009001,0.009001,0.009001
52,3010.81,1.86891,1.65606,1.63478,0.40365,0.41578,0.31668,0.15044,1.92927,1.64276,1.7253,0.00898102,0.00898102,0.00898102
53,3068.1,1.87961,1.66698,1.63433,0.42489,0.37595,0.30916,0.13066,1.96077,1.63764,1.7586,0.00896104,0.00896104,0.00896104
54,3125.87,1.87168,1.67393,1.64679,0.54539,0.41816,0.30472,0.14683,1.94031,1.64385,1.73056,0.00894106,0.00894106,0.00894106
55,3183.29,1.84674,1.65953,1.61561,0.5159,0.36789,0.31177,0.15031,1.92495,1.6698,1.72547,0.00892108,0.00892108,0.00892108
56,3240.39,1.86438,1.65523,1.62119,0.48584,0.48295,0.31991,0.14881,1.99098,1.63764,1.755,0.0089011,0.0089011,0.0089011
57,3298.79,1.86398,1.6487,1.62876,0.57265,0.46018,0.32395,0.13981,1.964,1.63048,1.74952,0.00888112,0.00888112,0.00888112
58,3357.18,1.8606,1.63481,1.61815,0.57331,0.43708,0.30944,0.1453,1.92495,1.6202,1.72233,0.00886114,0.00886114,0.00886114
59,3414.82,1.85106,1.64348,1.6158,0.38571,0.38166,0.29987,0.1438,1.93428,1.62275,1.73286,0.00884116,0.00884116,0.00884116
60,3473.23,1.85771,1.65309,1.62073,0.54201,0.38764,0.31485,0.12895,1.90926,1.6148,1.71301,0.00882118,0.00882118,0.00882118
61,3532.09,1.85564,1.64208,1.6254,0.54618,0.40179,0.31925,0.15155,1.93904,1.61351,1.73993,0.0088012,0.0088012,0.0088012
62,3589.37,1.84476,1.64275,1.60977,0.57672,0.40786,0.3128,0.13337,2.02273,1.62078,1.78848,0.00878122,0.00878122,0.00878122
63,3646.17,1.84092,1.61734,1.60441,0.52806,0.39414,0.3179,0.14115,1.93558,1.58792,1.72883,0.00876124,0.00876124,0.00876124
64,3704.1,1.84883,1.62797,1.61322,0.34495,0.42478,0.31164,0.14058,1.91386,1.60446,1.72635,0.00874126,0.00874126,0.00874126
65,3761.87,1.84574,1.63681,1.62137,0.57779,0.45996,0.32072,0.15307,1.90606,1.59938,1.71296,0.00872128,0.00872128,0.00872128
66,3819.57,1.83834,1.61,1.59893,0.57401,0.44691,0.3131,0.14096,1.92388,1.60823,1.71721,0.0087013,0.0087013,0.0087013
67,3878.02,1.82655,1.58977,1.58918,0.39157,0.42008,0.32135,0.1471,1.95006,1.60184,1.74314,0.00868132,0.00868132,0.00868132
68,3934.91,1.83607,1.62022,1.61075,0.54308,0.43454,0.31754,0.14974,1.91623,1.60109,1.72502,0.00866134,0.00866134,0.00866134
69,3992.12,1.84604,1.60507,1.60139,0.5458,0.4203,0.31671,0.14863,1.90959,1.6299,1.70731,0.00864136,0.00864136,0.00864136
70,4048.92,1.83079,1.60476,1.60006,0.4102,0.44255,0.31641,0.15017,1.94816,1.63154,1.73182,0.00862138,0.00862138,0.00862138
71,4105.54,1.84894,1.6129,1.60822,0.52327,0.41592,0.31378,0.14004,1.94359,1.6013,1.73142,0.0086014,0.0086014,0.0086014
72,4162.36,1.83966,1.61171,1.61311,0.50711,0.4049,0.31326,0.14227,1.91804,1.58576,1.72355,0.00858142,0.00858142,0.00858142
73,4219.62,1.83837,1.61633,1.60269,0.54212,0.40868,0.32026,0.14591,1.90423,1.591,1.71281,0.00856144,0.00856144,0.00856144
74,4276.41,1.82915,1.60816,1.60015,0.56903,0.42834,0.32206,0.15408,1.92383,1.57931,1.70803,0.00854146,0.00854146,0.00854146
75,4334.16,1.83053,1.60962,1.60434,0.37334,0.50219,0.30843,0.14489,1.96579,1.61738,1.75193,0.00852148,0.00852148,0.00852148
76,4390.7,1.8155,1.57876,1.58339,0.57449,0.47119,0.32876,0.15264,1.89625,1.57669,1.70941,0.0085015,0.0085015,0.0085015
77,4447.42,1.83014,1.58668,1.60585,0.6133,0.35225,0.28371,0.12751,1.90432,1.59013,1.71882,0.00848152,0.00848152,0.00848152
78,4504.79,1.81501,1.57106,1.58439,0.56444,0.41177,0.31635,0.14572,1.91686,1.59906,1.71477,0.00846154,0.00846154,0.00846154
79,4561.96,1.83359,1.59823,1.59997,0.57411,0.48901,0.31105,0.12967,1.95435,1.58674,1.74871,0.00844156,0.00844156,0.00844156
80,4619.53,1.83169,1.58947,1.59156,0.56867,0.45497,0.31552,0.14782,1.96955,1.59996,1.73708,0.00842158,0.00842158,0.00842158
81,4677.17,1.81315,1.59,1.58804,0.55194,0.42446,0.3225,0.15556,1.88217,1.56475,1.68801,0.0084016,0.0084016,0.0084016
82,4734.16,1.81459,1.59022,1.59762,0.55437,0.4378,0.32469,0.15085,1.92771,1.55551,1.71568,0.00838162,0.00838162,0.00838162
83,4790.14,1.8135,1.5751,1.58686,0.5074,0.40184,0.29898,0.12666,1.96211,1.59583,1.7562,0.00836164,0.00836164,0.00836164
84,4846.11,1.82568,1.59294,1.61417,0.56635,0.5068,0.32055,0.1426,1.91065,1.55378,1.72377,0.00834166,0.00834166,0.00834166
85,4902.43,1.81365,1.58534,1.5888,0.37509,0.49483,0.32058,0.15372,1.97168,1.58583,1.74324,0.00832168,0.00832168,0.00832168
86,4960.41,1.81931,1.58604,1.59511,0.37862,0.50031,0.31984,0.13527,1.90425,1.57449,1.7136,0.0083017,0.0083017,0.0083017
87,5017.64,1.81156,1.56766,1.58585,0.56331,0.42815,0.3317,0.14868,1.91651,1.57857,1.72515,0.00828172,0.00828172,0.00828172
88,5075.01,1.83675,1.58374,1.60551,0.39458,0.4286,0.32465,0.14285,1.91736,1.55284,1.71215,0.00826174,0.00826174,0.00826174
89,5132.06,1.80692,1.5623,1.57777,0.53335,0.4271,0.31846,0.14596,1.91635,1.56168,1.7229,0.00824176,0.00824176,0.00824176
90,5187.72,1.80358,1.56902,1.58293,0.51193,0.44582,0.32947,0.1455,1.91475,1.55042,1.71248,0.00822178,0.00822178,0.00822178
91,5244.86,1.8012,1.5609,1.57276,0.54001,0.40633,0.32334,0.15055,1.89021,1.55552,1.70817,0.0082018,0.0082018,0.0082018
92,5301.58,1.81265,1.56704,1.5923,0.54127,0.40548,0.32205,0.15012,1.90601,1.55567,1.7073,0.00818182,0.00818182,0.00818182
93,5358.3,1.79635,1.56106,1.57716,0.54915,0.41922,0.32152,0.13349,1.91752,1.57174,1.7257,0.00816184,0.00816184,0.00816184
94,5414.83,1.7933,1.55995,1.57493,0.56272,0.43844,0.33814,0.153,1.88915,1.52853,1.69158,0.00814186,0.00814186,0.00814186
95,5472.02,1.78897,1.54374,1.56688,0.50056,0.41104,0.32952,0.16061,1.89153,1.53378,1.6976,0.00812188,0.00812188,0.00812188
96,5529,1.79219,1.53844,1.56807,0.52212,0.42315,0.33242,0.15395,1.88653,1.53292,1.69408,0.0081019,0.0081019,0.0081019
97,5585.52,1.79383,1.55168,1.57735,0.54114,0.44882,0.33634,0.15403,1.87565,1.55123,1.68809,0.00808192,0.00808192,0.00808192
98,5641.58,1.77934,1.5371,1.56392,0.56405,0.44908,0.33017,0.15933,1.87415,1.54776,1.68649,0.00806194,0.00806194,0.00806194
99,5699.46,1.78231,1.52982,1.57178,0.52618,0.42298,0.32906,0.15276,1.88702,1.52986,1.69577,0.00804196,0.00804196,0.00804196
